Symbol,Company,Sector,Sub Sector
ICICIBANK,ICICI Bank Limited,Banks - Private,Finance - Banks - Private Sector
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,,
ICIL,Indo Count Industries Limited,Textiles,Textiles - Spinning - Cotton Blended
ICRA,ICRA Limited,Misc,Services - Others
ICSA,,Computers,Computers - Software
IDBI,IDBI Bank Limited,Banks - PSU,Finance - Banks - Public Sector
IDEA,Vodafone Idea Limited,Telecom,Telecommunications - Service
IDFC,IDFC Limited,Finance,Finance - Term Lending Institutions
IDFCBANK,,Banks - Private,Finance - Banks - Private Sector
IFBAGRO,IFB Agro Industries Limited,Chemicals,Chemicals - Organic - Alcohol Based
IFBIND,IFB Industries Limited,Consumer Goods,Consumer Goods - White - Washing Mach./Refrig./Oth
IFCI,IFCI Limited,Finance,Finance - Term Lending Institutions
IFGLREFRAC,,Misc,Refractories
IGARASHI,Igarashi Motors India Limited,Electric,Electric Equipment - General
IGL,Indraprastha Gas Limited,Gas,Industrial Gas
IGPL,IG Petrochemicals Limited,Chemicals,Chemicals - Organic - Maleic Anhydride
IIFL,IIFL Finance Limited,Finance,Finance - Investments
IITL,Industrial Investment Trust Limited,Finance,Finance - Investments
IL&FSENGG,IL&FS Engineering and Construction Company Limited,Construction,Construction & Contracting - Civil
IL&FSTRANS,IL&FS Transportation Networks Limited,Construction,Construction & Contracting - Civil
IMFA,Indian Metals & Ferro Alloys Limited,Mining,Mining/Minerals
IMPAL,India Motor Parts and Accessories Limited,Auto Ancl,Auto Ancl - Engine Parts
IMPEXFERRO,Impex Ferro Tech Limited,Misc,Ferro Alloys
INDBANK,Indbank Merchant Banking Services Limited,Finance,Finance - General
INDHOTEL,The Indian Hotels Company Limited,Hotels,Hotels
INDIACEM,The India Cements Limited,Cement,Cement - Major
INDIAGLYCO,India Glycols Limited,Chemicals,Chemicals - Organic - Alcohol Based
INDIANB,Indian Bank,Banks - PSU,Finance - Banks - Public Sector
INDIANCARD,Indian Card Clothing Company Limited,Textiles,Textiles - Machinery
