Symbol, Sector, Sub-sector,Company
VARDHACRLC,Consumer Cyclical,Textile Manufacturing,Vardhman Acrylics Limited
VARDMNPOLY,Consumer Cyclical,Textile Manufacturing,Vardhman Polytex Limited
VARROC,Consumer Cyclical,Auto Parts,Varroc Engineering Limited
VASCONEQ,Industrials,Engineering & Construction,Vascon Engineers Limited
VASWANI,Basic Materials,Steel,Vaswani Industries Limited
VBL,Consumer Defensive,Beverages-Non-Alcoholic,Varun Beverages Limited
VEDL,Basic Materials,Other Industrial Metals & Mining,Vedanta Limited
VENKEYS,Consumer Defensive,Farm Products,Venky's (India) Limited
VENUSREM,Healthcare,Drug Manufacturers-Specialty & Generic,Venus Remedies Limited
VERTOZ,Communication Services,Advertising Agencies,Vertoz Advertising Limited
VESUVIUS,Industrials,Specialty Industrial Machinery,Vesuvius India Limited
VETO,Industrials,Electrical Equipment & Parts,Veto Switchgears And Cables Limited
VGUARD,Industrials,Electrical Equipment & Parts,V-Guard Industries Limited
VHL,Financial Services,Credit Services,Vardhman Holdings Limited
VICEROY,Consumer Cyclical,Lodging,Viceroy Hotels Limited
VIDEOIND,Consumer Cyclical,Furnishings Fixtures & Appliances,Videocon Industries Limited
VIDHIING,Basic Materials,Specialty Chemicals,Vidhi Specialty Food Ingredients Limited
VIJIFIN,Financial Services,Credit Services,Viji Finance Limited
VIKASECO,Basic Materials,Specialty Chemicals,Vikas EcoTech Limited
VIKASMCORP,Basic Materials,Specialty Chemicals,Vikas Multicorp Limited
VIKASPROP,Basic Materials,Agricultural Inputs,Vikas Proppant & Granite Limited
VIKASWSP,Basic Materials,Specialty Chemicals,Vikas WSP Limited
VIMTALABS,Healthcare,Diagnostics & Research,Vimta Labs Limited
VINATIORGA,Basic Materials,Specialty Chemicals,Vinati Organics Limited
VINDHYATEL,Industrials,Engineering & Construction,Vindhya Telelinks Limited
VINYLINDIA,Basic Materials,Specialty Chemicals,Vinyl Chemicals (India) Limited
VIPCLOTHNG,Consumer Cyclical,Apparel Manufacturing,VIP Clothing Limited
VIPIND,Consumer Cyclical,Footwear & Accessories,VIP Industries Limited
VIPULLTD,Real Estate,Real Estate-Diversified,Vipul Limited
VISAKAIND,Industrials,Building Products & Equipment,Visaka Industries Limited
VISASTEEL,Basic Materials,Steel,Visa Steel Limited
VISHAL,Consumer Cyclical,Textile Manufacturing,Vishal Fabrics Limited
VISHNU,Basic Materials,Specialty Chemicals,Vishnu Chemicals Limited
VISHWARAJ,Consumer Defensive,Confectioners,Vishwaraj Sugar Industries Limited
VIVIDHA,Consumer Cyclical,Textile Manufacturing,Visagar Polytex Limited
VIVIMEDLAB,Basic Materials,Specialty Chemicals,Vivimed Labs Limited
VLSFINANCE,Financial Services,Capital Markets,VLS Finance Limited
VMART,Consumer Cyclical,Department Stores,V-Mart Retail Limited
VOLTAMP,Industrials,Electrical Equipment & Parts,Voltamp Transformers Limited
VOLTAS,Industrials,Specialty Industrial Machinery,Voltas Limited
VRLLOG,Industrials,Trucking,VRL Logistics Limited
VSSL,Basic Materials,Steel,Vardhman Special Steels Limited
VSTIND,Consumer Defensive,Tobacco,VST Industries Limited
VSTTILLERS,Industrials,Farm & Heavy Construction Machinery,V.S.T Tillers Tractors Limited
VTL,Consumer Cyclical,Textile Manufacturing,Vardhman Textiles Limited
WABAG,Industrials,Waste Management,VA Tech Wabag Limited
WABCOINDIA,Consumer Cyclical,Auto Parts,WABCO India Limited
WALCHANNAG,Industrials,Engineering & Construction,Walchandnagar Industries Limited
WANBURY,Healthcare,Drug Manufacturers-Specialty & Generic,Wanbury Limited
WATERBASE,Consumer Defensive,Packaged Foods,Waterbase Limited
WEBELSOLAR,Technology,Solar,Websol Energy System Limited
WEIZMANIND,Consumer Cyclical,Textile Manufacturing,Weizmann Limited
WELCORP,Basic Materials,Steel,Welspun Corp Limited
WELENT,Industrials,Engineering & Construction,Welspun Enterprises Limited
WELINV,Consumer Cyclical,Textile Manufacturing,Welspun Investments and Commercials Limited
WELSPUNIND,Consumer Cyclical,Textile Manufacturing,Welspun India Limited
WENDT,Industrials,Tools & Accessories,Wendt (India) Limited
WESTLIFE,Consumer Cyclical,Restaurants,Westlife Development Ltd
WHEELS,Consumer Cyclical,Auto Parts,Wheels India Limited
WHIRLPOOL,Technology,Consumer Electronics,Whirlpool of India Limited
WILLAMAGOR,Financial Services,Credit Services,Williamson Magor & Company Limited
WINDMACHIN,Industrials,Specialty Industrial Machinery,Windsor Machines Limited
WINSOME,Consumer Cyclical,Textile Manufacturing,Winsome Yarns Limited
WIPL,Basic Materials,Lumber & Wood Production,The Western India Plywoods Limited
WIPRO,Technology,Information Technology Services,Wipro Limited
WOCKPHARMA,Healthcare,Drug Manufacturers-Specialty & Generic,Wockhardt Limited
WONDERLA,Consumer Cyclical,Leisure,Wonderla Holidays Limited
WSI,Industrials,Electrical Equipment & Parts,W S Industries (I) Limited
WSTCSTPAPR,Basic Materials,Paper & Paper Products,West Coast Paper Mills Limited
XCHANGING,Technology,Information Technology Services,Xchanging Solutions Limited
XELPMOC,Technology,Information Technology Services,Xelpmoc Design And Tech Limited
XPROINDIA,Basic Materials,Specialty Chemicals,Xpro India Limited
YESBANK,Financial Services,Banks-Regional,Yes Bank Limited
ZEEL,Communication Services,Broadcasting,Zee Entertainment Enterprises Limited
ZEELEARN,Consumer Defensive,Education & Training Services,Zee Learn Limited
ZEEMEDIA,Communication Services,Broadcasting,Zee Media Corporation Limited
ZENITHBIR,Basic Materials,Steel,Zenith Birla (India) Limited
ZENITHEXPO,Consumer Cyclical,Textile Manufacturing,Zenith Exports Limited
ZENSARTECH,Technology,Information Technology Services,Zensar Technologies Limited
ZENTEC,Industrials,Aerospace & Defense,Zen Technologies Limited
ZICOM,Industrials,Security & Protection Services,Zicom Electronic Security Systems Limited
ZODIACLOTH,Consumer Cyclical,Apparel Manufacturing,Zodiac Clothing Company Limited
ZODJRDMKJ,Consumer Cyclical,Luxury Goods,Zodiac JRD- MKJ Limited
ZOTA,Healthcare,Biotechnology,Zota Health Care LImited
ZUARI,Basic Materials,Agricultural Inputs,Zuari Agro Chemicals Limited
ZUARIGLOB,Industrials,Conglomerates,Zuari Global Limited
ZYDUSWELL,Consumer Defensive,Packaged Foods,Zydus Wellness Limited
