Symbol, Sector, Sub-sector,Company
CLNINDIA, Basic Materials , Specialty Chemicals,Clariant Chemicals (India) Limited
CMICABLES, Industrials , Electrical Equipment & Parts,CMI Limited
CNOVAPETRO, Consumer Cyclical , Textile Manufacturing,CIL Nova Petrochemicals Limited
COALINDIA, Energy , Thermal Coal,Coal India Limited
COCHINSHIP, Industrials , Aerospace & Defense,Cochin Shipyard Limited
COFFEEDAY, Consumer Cyclical , Restaurants,Coffee Day Enterprises Limited
COLPAL, Consumer Defensive , Household & Personal Products,Colgate Palmolive (India) Limited
COMPINFO, Technology , Electronics & Computer Distribution,Compuage Infocom Limited
COMPUSOFT, Consumer Defensive , Education & Training Services,Compucom Software Limited
CONCOR, Industrials , Railroads,Container Corporation of India Limited
CONFIPET,  , ,Confidence Petroleum India Limited
CONSOFINVT, Financial Services , Capital Markets,Consolidated Finvest & Holdings Limited
CONTROLPR, Industrials , Business Equipment & Supplies,Control Print Limited
CORALFINAC, Consumer Cyclical , Residential Construction,Coral India Finance & Housing Limited
CORDSCABLE, Industrials , Electrical Equipment & Parts,Cords Cable Industries Limited
COROMANDEL, Basic Materials , Agricultural Inputs,Coromandel International Limited
COSMOFILMS, Consumer Cyclical , Packaging & Containers,Cosmo Films Limited
COUNCODOS, Real Estate , Real Estate-Development,Country Condo's Limited
COX&KINGS, Consumer Cyclical , Travel Services,Cox & Kings Limited
CREATIVE, Technology , Electronics & Computer Distribution,Creative Peripherals and Distribution Limited
CREATIVEYE, Communication Services , Entertainment,Creative Eye Limited
CREDITACC, Financial Services , Credit Services,CREDITACCESS GRAMEEN LIMITED
CREST, Financial Services , Financial Conglomerates,Crest Ventures Limited
CRISIL, Financial Services , Financial Data & Stock Exchanges,CRISIL Limited
CROMPTON, Consumer Cyclical , Furnishings Fixtures & Appliances,Crompton Greaves Consumer Electricals Limited
CSBBANK, Financial Services , Banks-Regional,CSB Bank Limited
CTE, Technology , Information Technology Services,Cambridge Technology Enterprises Limited
CUB, Financial Services , Banks-Regional,City Union Bank Limited
CUBEXTUB, Basic Materials , Copper,Cubex Tubings Limited
CUMMINSIND, Industrials , Specialty Industrial Machinery,Cummins India Limited
CUPID, Consumer Defensive , Household & Personal Products,Cupid Limited
CYBERTECH, Technology , Information Technology Services,Cybertech Systems And Software Limited
CYIENT, Industrials , Conglomerates,Cyient Limited
DAAWAT, Consumer Defensive , Packaged Foods,LT Foods Limited
DABUR, Consumer Defensive , Household & Personal Products,Dabur India Limited
DALBHARAT, Basic Materials , Building Materials,Dalmia Bharat Limited
DALMIASUG, Consumer Defensive , Confectioners,Dalmia Bharat Sugar and Industries Limited
DAMODARIND, Consumer Cyclical , Textile Manufacturing,Damodar Industries Limited
DATAMATICS, Industrials , Specialty Business Services,Datamatics Global Services Limited
DBCORP, Communication Services , Publishing,D.B.Corp Limited
DBL, Industrials , Engineering & Construction,Dilip Buildcon Limited
DBREALTY, Real Estate , Real Estate-Development,D B Realty Limited
DBSTOCKBRO, Financial Services , Capital Markets,DB (International) Stock Brokers Limited
DCAL, Healthcare , Biotechnology,Dishman Carbogen Amcis Limited
DCBBANK, Financial Services , Banks-Regional,DCB Bank Limited
DCM, Consumer Cyclical , Textile Manufacturing,DCM  Limited
DCMFINSERV, Financial Services , Credit Services,DCM Financial Services Limited
DCMNVL, Consumer Cyclical , Textile Manufacturing,DCM Nouvelle Limited
DCMSHRIRAM, Basic Materials , Specialty Chemicals,DCM Shriram Limited
DCW, Basic Materials , Chemicals,DCW Limited
DECCANCE, Basic Materials , Building Materials,Deccan Cements Limited
DEEPAKFERT, Basic Materials , Chemicals,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR, Basic Materials , Chemicals,Deepak Nitrite Limited
DEEPIND, Energy , Oil & Gas Equipment & Services,Deep Industries Limited
DELTACORP, Consumer Cyclical , Resorts & Casinos,Delta Corp Limited
DELTAMAGNT, Industrials , Specialty Industrial Machinery,Delta Manufacturing Limited
DEN, Communication Services , Entertainment,Den Networks Limited
DENORA, Industrials , Electrical Equipment & Parts,De Nora India Limited
DFMFOODS, Consumer Defensive , Packaged Foods,DFM Foods Limited
DGCONTENT, Communication Services , Internet Content & Information,Digicontent Limited
DHAMPURSUG, Consumer Defensive , Confectioners,Dhampur Sugar Mills Limited
DHANBANK, Financial Services , Banks-Regional,Dhanlaxmi Bank Limited
DHANUKA, Basic Materials , Agricultural Inputs,Dhanuka Agritech Limited
DHARSUGAR, Consumer Defensive , Confectioners,Dharani Sugars & Chemicals Limited
DHFL, Financial Services , Mortgage Finance,Dewan Housing Finance Corporation Limited
DHUNINV, Financial Services , Capital Markets,Dhunseri Investments Limited
DIAMONDYD, Consumer Defensive , Packaged Foods,Prataap Snacks Limited
DIAPOWER, Industrials , Specialty Industrial Machinery,Diamond Power Infra Ltd
DICIND, Basic Materials , Specialty Chemicals,DIC India Limited
DIGISPICE, Technology , Information Technology Services,DiGiSPICE Technologies Limited
DIGJAMLTD, Consumer Cyclical , Textile Manufacturing,Digjam Limited
DISHTV, Communication Services , Entertainment,Dish TV India Limited
DIVISLAB, Healthcare , Drug Manufacturers-Specialty & Generic,Divi's Laboratories Limited
DIXON, Technology , Consumer Electronics,Dixon Technologies (India) Limited
DLF, Real Estate , Real Estate-Diversified,DLF Limited
DLINKINDIA, Technology , Communication Equipment,D-Link (India) Limited
DMART, Consumer Defensive , Discount Stores,Avenue Supermarts Limited
DNAMEDIA, Communication Services , Publishing,Diligent Media Corporation Limited
DOLAT, Financial Services , Capital Markets,Dolat Investments Limited
DOLLAR, Consumer Cyclical , Apparel Manufacturing,Dollar Industries Limited
DOLPHINOFF, Energy , Oil & Gas Equipment & Services,Dolphin Offshore Enterprises (India) Limited
DONEAR, Consumer Cyclical , Textile Manufacturing,Donear Industries Limited
DPSCLTD, Utilities , Utilities-Regulated Electric,DPSC Limited
DPWIRES, Industrials , Metal Fabrication,D P Wires Limited
DQE, Communication Services , Entertainment,DQ Entertainment (International) Limited
DREDGECORP, Industrials , Engineering & Construction,Dredging Corporation of India Limited
DRREDDY, Healthcare , Drug Manufacturers-Specialty & Generic,Dr. Reddy's Laboratories Limited
DSSL, Technology , Information Technology Services,Dynacons Systems & Solutions Limited
DTIL, Consumer Defensive , Packaged Foods,Dhunseri Tea & Industries Limited
DUCON, Industrials , Specialty Industrial Machinery,Ducon Infratechnologies Limited
DVL, Financial Services , Capital Markets,Dhunseri Ventures Limited
